"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Avena 1L","75013134939","Granos","2026-09-01","Coca Cola","22.09","478"
"Pan Frances 3u","75033182076","Panaderia","2027-11-11","Bayer","38.58","482"
"Pan Frances 750ml","75086552530","Panaderia","2027-08-10","Coca Cola","85.44","160"
"Yogurt Fresa 750ml","75095871026","Lacteos","2027-02-16","Ducal","89.19","182"
"Quinoa 3u","75092289169","Granos","2026-07-27","McCormick","86.91","191"
"Quinoa 200ml","75034583808","Granos","2026-07-25","Parma","29.34","73"
"Aguacate 500g","75099677958","Verduras","2026-05-07","Unilever","67.54","116"
"Esponja 350ml","75065145850","Limpieza","2027-06-04","Gallo","54.3","138"
"Sandia 1L","75048740839","Frutas","2027-07-17","Colgate","28.35","467"
"Shampoo 750ml","75079008413","Higiene","2027-07-18","McCormick","57.05","108"
"Palomitas 350ml","75022909156","Snacks","2027-01-01","Bayer","10.86","10"
"Cepillo Dental","75045303912","Higiene","2026-11-05","Knorr","143.36","476"
"Gatorade 1u","75048930035","Bebidas","2027-12-14","Kern","61.02","253"
"Maiz Pozolero 200ml","75034055143","Granos","2026-02-25","Colgate","44.0","405"
"Leche Chocolate 500g","75014085959","Lacteos","2026-02-18","Bayer","136.36","60"
"Tomate 100g #995","75061675558","Verduras","2027-12-18","Coca Cola","102.45","124"
"Maiz Pozolero 1L","75034413793","Granos","2027-02-15","Kelloggs","20.19","141"
"Pina 250ml","75013251531","Frutas","2026-09-09","Parma","76.9","126"
"Aceite Canola 500g","75048168848","Aceites","2027-12-21","McCormick","123.03","475"
"Garbanzo 500g","75019918663","Granos","2026-08-02","Del Monte","36.21","95"
"Bolsa Basura 1u","75052599706","Limpieza","2026-03-27","Bimbo","74.42","408"
"Quinoa #440","75072179376","Granos","2027-11-22","Colgate","55.36","92"
"Leche Entera 3u","75084939884","Lacteos","2026-11-10","Ducal","36.15","420"
"Aceite Coco","75045937780","Aceites","2026-09-10","Procter","70.56","450"
"Papaya 12u","75087431637","Frutas","2027-09-03","Colgate","64.32","192"
"Limonada 1kg","75071080667","Bebidas","2026-06-17","Procter","120.18","359"
"Espinaca 6u #1022","75028477381","Verduras","2026-01-08","Maggi","5.19","204"
"Zanahoria 12u","75072563677","Verduras","2026-05-05","Procter","58.2","196"
"Baguette 12u #530","75073566185","Panaderia","2027-06-23","Nestle","99.89","24"
"Sandia 350ml","75010997624","Frutas","2026-10-05","Ducal","93.93","299"
"Croissant 500ml","75092261536","Panaderia","2027-07-04","Lipton","75.94","262"
"Cebada 600ml #450","75031755018","Granos","2026-02-23","Kelloggs","131.09","65"
"Shampoo 1kg","75033208012","Higiene","2026-11-17","Ducal","118.53","327"
"Bolsa Basura 6u","75082166703","Limpieza","2027-12-24","Kelloggs","135.66","74"
"Maiz Pozolero 500g","75041813590","Granos","2026-10-15","Kern","95.87","183"
"Limpia Vidrios 750ml","75031484880","Limpieza","2027-10-27","McCormick","108.73","158"
"Te Helado 250g","75022429136","Bebidas","2027-11-24","Knorr","129.79","57"
"Lenteja Roja 250ml","75014528159","Granos","2027-09-25","Bayer","94.3","124"
"Toallas Humedas 100g","75063655175","Higiene","2027-08-21","Bimbo","86.05","310"
"Aceite Canola 1u","75058431788","Aceites","2026-04-21","Lipton","110.33","139"
"Jabon Bano 2kg","75055411479","Higiene","2026-09-06","Coca Cola","18.62","491"
"Aguacate 250g","75022137883","Verduras","2027-11-28","Parma","73.27","75"
"Naranja 500g #962","75086469640","Frutas","2027-04-06","Knorr","35.81","78"
"Aceite Vegetal 750ml","75089877360","Aceites","2027-10-12","Kelloggs","85.18","157"
"Aceite Aguacate 250ml","75069749994","Aceites","2026-03-23","Pilsener","52.32","326"
"Chorizo 6u","75060815732","Carnes","2027-08-22","Lipton","28.8","94"
"Aceite Maiz 600ml","75070913967","Aceites","2026-07-27","Quaker","107.87","409"
"Toallas Humedas 250ml","75022170403","Higiene","2027-06-18","Maggi","20.91","142"
"Costilla Cerdo 6u","75050721965","Carnes","2026-08-27","Quaker","62.62","90"
"Banana 1L #957","75072354972","Frutas","2027-05-28","Procter","15.69","179"
"Cloro 1L","75097658723","Limpieza","2027-02-28","Colgate","91.37","386"
"Galleta Maria 200g","75034658706","Panaderia","2027-05-17","Lipton","26.48","368"
"Banana 350ml","75021573432","Frutas","2027-05-05","Colgate","65.7","313"
"Cafe Frio 250g","75096871708","Bebidas","2027-08-22","Nestle","72.8","460"
"Kombucha 12u","75090088559","Bebidas","2027-05-12","Maggi","63.78","114"
"Costilla Cerdo 500ml","75046561656","Carnes","2027-04-12","Kern","130.08","468"
"Pepsi 500ml","75061010306","Bebidas","2027-07-12","Colgate","85.49","357"
"Galleta Maria 12u","75029161114","Panaderia","2027-05-09","Nestle","129.92","93"
"Cloro 12u","75039249908","Limpieza","2027-09-14","Knorr","91.55","262"
"Tortilla Maiz 6u","75033596930","Panaderia","2027-10-05","Pilsener","80.82","274"
"Melon 500ml","75097876814","Frutas","2027-03-25","Parma","142.9","438"
"Pan Dulce 350ml","75037615508","Panaderia","2027-06-16","Colgate","91.36","166"
"Mantequilla 1L","75078566131","Lacteos","2026-06-28","Bimbo","29.53","262"
"Lechuga #1011","75089841892","Verduras","2027-02-26","Coca Cola","5.37","6"
"Tomate 750ml","75039094146","Verduras","2027-06-11","Unilever","118.06","250"
"Lechuga 600ml","75069308005","Verduras","2027-09-07","Quaker","43.48","241"
"Queso Cheddar","75058651385","Lacteos","2026-04-17","Del Monte","122.1","383"
"Aceite Coco 350ml","75024359097","Aceites","2026-06-15","Parma","17.38","467"
"Galleta Maria 1kg","75083221500","Panaderia","2027-06-22","Lipton","99.71","228"
"Agua Pura 6u","75093652359","Bebidas","2027-07-14","McCormick","32.9","445"
"Papa 250g","75028713278","Verduras","2026-12-23","Del Monte","119.56","54"
"Pepsi 250ml","75053441338","Bebidas","2027-07-03","Kern","122.68","273"
"Manzana Roja 600ml","75078208447","Frutas","2026-02-08","Parma","18.34","30"
"Tocino 200ml","75065888433","Carnes","2027-03-26","Parma","138.98","251"
"Agua Pura 3u","75063753995","Bebidas","2026-01-14","Nestle","84.37","71"
"Te Helado 1u","75066212159","Bebidas","2026-10-07","Coca Cola","18.67","243"
"Tomate 200g","75050170499","Verduras","2027-03-17","Maggi","62.54","95"
"Pan Dulce 200g","75077418795","Panaderia","2026-04-26","Quaker","29.43","196"
"Gatorade 100g","75017403857","Bebidas","2026-06-12","Pilsener","25.69","8"
"Pina 12u","75025310993","Frutas","2026-10-07","Parma","47.58","329"
"Leche Chocolate 3u","75091302482","Lacteos","2026-09-03","La Costena","108.22","173"
"Crema Corporal 600ml","75052732166","Higiene","2026-12-14","Kern","113.65","46"
"Pan Dulce 1kg","75030082659","Panaderia","2026-06-25","McCormick","32.91","372"
"Frijol Negro 100g","75097097626","Granos","2027-06-02","Del Monte","23.36","440"
"Melon 500g","75095196978","Frutas","2026-07-11","Kelloggs","97.18","76"
"Queso Fresco 3u","75084125782","Lacteos","2027-11-10","Colgate","16.52","283"
"Papa 1u #614","75034098151","Verduras","2027-08-10","Pilsener","137.9","299"
"Limpia Vidrios 6u","75028949787","Limpieza","2026-08-04","Pilsener","56.07","486"
"Espinaca 200ml","75070966350","Verduras","2027-12-17","Pilsener","81.48","37"
"Garbanzo 1kg","75068502327","Granos","2027-01-06","La Costena","128.47","270"
"Pechuga Pollo 12u","75052316865","Carnes","2026-11-22","Parma","17.82","75"
"Pan Frances 100g","75073241415","Panaderia","2027-12-06","Procter","38.04","430"
"Jamon Pavo 1kg","75055207503","Carnes","2026-06-14","Quaker","38.83","211"
"Aceite Canola 200g #1040","75017095517","Aceites","2026-01-17","Knorr","22.7","119"
"Yogurt Fresa 500g","75029177306","Lacteos","2027-07-09","Parma","95.21","467"
"Maiz Pozolero 750ml","75016324645","Granos","2027-06-16","Gallo","132.94","388"
"Frijol Rojo 250ml","75054400765","Granos","2027-04-20","Knorr","4.0","150"
"Te Helado 1L #871","75082047731","Bebidas","2026-11-23","Procter","38.32","13"
"Kombucha 200g","75064578529","Bebidas","2027-01-11","Kelloggs","84.28","227"
"Galleta Maria 3u","75024407205","Panaderia","2026-03-06","McCormick","93.17","302"
"Naranja 500g","75030596170","Frutas","2026-06-07","Knorr","46.02","337"
"Aceite Coco 100g #1032","75013872021","Aceites","2027-11-06","Quaker","49.25","290"
"Cebolla 3u","75029890949","Verduras","2027-04-16","Nestle","100.89","473"
"Chorizo 3u","75010913765","Carnes","2026-05-13","Kern","67.05","317"
"Desinfectante 6u","75099319391","Limpieza","2027-05-21","Lipton","51.18","275"
"Chile Jalapeno 100g","75089745342","Verduras","2027-05-10","Lipton","51.12","322"
"Leche Descremada 1u","75071069596","Lacteos","2027-07-04","Procter","55.92","45"
"Agua Pura 3u #861","75044343007","Bebidas","2026-10-05","Nestle","54.76","24"
"Garbanzo","75096661077","Granos","2027-09-12","Unilever","123.13","461"
"Trapeador 350ml","75081105641","Limpieza","2026-05-17","Kelloggs","112.28","438"
"Frijol Rojo 6u","75048288278","Granos","2027-03-09","Kern","36.88","90"
"Frijol Rojo 3u #427","75026951293","Granos","2027-09-20","La Costena","99.1","206"
"Aceite Soya 200g","75049353363","Aceites","2026-07-13","Ducal","125.02","327"
"Costilla Cerdo 200ml #935","75044231660","Carnes","2026-04-04","Del Monte","108.75","480"
"Melon 2kg #988","75093076114","Frutas","2027-07-10","Maggi","113.66","91"
"Aceite Canola 100g #653","75096658927","Aceites","2026-11-19","Coca Cola","51.82","320"
"Aceite Girasol 350ml","75096711150","Aceites","2027-03-12","Coca Cola","89.88","180"
"Pretzels 3u","75035718677","Snacks","2027-05-14","Knorr","51.75","210"
"Limonada 100g","75016393353","Bebidas","2027-03-12","Colgate","58.03","136"
